Id,x,Expected,Usage
1466,4.9542,2.3189450133729798e-05,Public
6,3.1229,0.023813797302007975,Public
4515,4.9924,1.932497757437377e-05,Public
513,0.9633,0.6057040162747483,Public
5950,2.5078,0.10805396019189442,Public
5091,5.6878,5.370305307013251e-07,Public
9815,0.5271,0.4587351732067359,Public
9000,8.1741,2.5324988825488024e-14,Public
6396,4.264,0.0004805206698331619,Public
9925,7.6535,1.4595863161652903e-12,Public
5777,5.0126,1.7538279999307394e-05,Public
6133,8.3689,5.176117428377317e-15,Public
4100,6.4063,7.847600946170656e-09,Public
5392,1.7368,0.3843534217944743,Public
16,7.6229,1.8365260773393918e-12,Public
5655,6.8144,5.622999667215139e-10,Public
2409,8.7059,3.031371143095435e-16,Public
8514,9.347,9.983839173634453e-19,Public
8817,9.6197,7.738446013861717e-20,Public
771,6.9895,1.7223761635294257e-10,Public
9181,2.0037,0.26917020326292723,Public
8368,2.2848,0.16798559843796906,Public
9303,1.2336,0.576403261674512,Public
4613,8.2612,1.251131619458331e-14,Public
1496,3.6146,0.005259678474716358,Public
2610,8.5232,1.4320387555320886e-15,Public
8699,4.6965,7.623128810094433e-05,Public
5849,7.3263,1.6202343373910887e-11,Public
130,3.5424,0.0066742768578458836,Public
9322,0.1434,0.14193314660230813,Public
1156,4.8348,4.059743149625573e-05,Public
5513,4.9062,2.9096300903468114e-05,Public
8353,8.8001,1.343454884532573e-16,Public
5586,2.8611,0.04775170820688177,Public
4055,7.5481,3.2072381804794642e-12,Public
2237,6.3022,1.4958836504145936e-08,Public
8356,7.7961,4.94136798337636e-13,Public
8047,6.18,3.144953219320696e-08,Public
1505,1.5254,0.47655796814774104,Public
2785,3.7551,0.003255943807986885,Public
6672,8.4306,3.105380209982243e-15,Public
7204,5.8092,2.729548466715598e-07,Public
7796,9.4258,4.805276366720712e-19,Public
1715,5.0493,1.4688207086165231e-05,Public
8972,6.3989,8.218858514202392e-09,Public
1544,3.9407,0.0016728945783589474,Public
6378,1.2577,0.5702844606149291,Public
2367,2.894,0.04393788391087993,Public
1617,3.6658,0.004427154495202096,Public
5335,4.4668,0.00020768691025950387,Public
9663,8.5347,1.3000003791930907e-15,Public
5558,2.9301,0.04004680223958538,Public
5932,4.9388,2.4947165902807324e-05,Public
7476,7.9056,2.1210725870572228e-13,Public
8419,6.0178,8.235417560874706e-08,Public
7722,7.025,1.34987722674143e-10,Public
1059,3.5829,0.005843568193759012,Public
8331,2.48,0.11452737062174219,Public
9337,7.0413,1.206460537322529e-10,Public
8706,2.9018,0.04307164504766568,Public
6718,0.6579,0.5298726735460799,Public
644,2.6291,0.08295625795472807,Public
7520,8.3091,8.461752383212743e-15,Public
6946,9.5075,2.2365166817050484e-19,Public
3145,4.4488,0.00022413179174713386,Public
6856,0.137,0.13572033738840897,Public
5226,2.993,0.03395401156012537,Public
389,8.0363,7.607246160138065e-14,Public
2984,7.328,1.6005489278384748e-11,Public
1088,6.3524,1.0974842973452186e-08,Public
6899,8.9517,3.558444795728571e-17,Public
8627,5.2343,5.881403553309753e-06,Public
8891,5.5095,1.4115512937107496e-06,Public
6185,0.7908,0.5784561656281927,Public
1283,6.3328,1.238926526667882e-08,Public
7249,9.7196,2.975863488869282e-20,Public
325,4.7219,6.800301306243676e-05,Public
3732,9.8617,7.511101119149355e-21,Public
5714,3.4309,0.009535679415454874,Public
7318,2.6001,0.08850377264022458,Public
6010,9.3952,6.388018762171514e-19,Public
7599,1.1182,0.5984182406662787,Public
9222,8.3934,4.227624695538054e-15,Public
3207,3.2205,0.018019991509099706,Public
4194,5.6359,7.138967062420639e-07,Public
